id,type,title,durartion,tools,description,myTask,githubUrl,videoUrl,
0,Programming,Matzzang VR game,2022.05 ~ 2022.06,Unity,"적이 던지는 병을 잡거나, 주먹으로 쳐서 날려버리는 게임","- 기획 및 에셋 수- 집게임 구조 설계: 에셋 배치, 게임 씬 계층구조 - 적의 던지기, 플레이어의 던지기, 펀치 기능을 메인 브랜치에 결합하기 - 플레이어와 적의 생명바 디자인 및 구현 - 게임 start, over UI 디자인 및 구현",https://github.com/kimmyoungji/2022_IMP_VR.git,,
1,Programming,Raindrop AR Game,2022.03 ~ 2022.04,"Unity,  Magicavoxel","바코드 이미지를 인식하면, 그 위에 캐릭터가 생성된다. 떨어지는 빗방울을 맞으면 수명이 줄고, 햇님을 먹으면 수명이 는다.","- 기획 및 자료 수집 - 게임 에셋 제작 - 떨어지는 빗방울 구현, 플레이어와 빗방울의 충돌 구현",https://github.com/kimmyoungji/2022_IMP_ARproject.git,,
2,Programming,Mono to Color,2021.10 ~ 2021.12,Godat Game engine,"물감 통을 모아서, 목표한 색을 만들어 내는 간단한 게임","- 기획 및 자료 수집 - 상단 HUD 디자인 및 구현 - 레벨 3,6 맵 디자인 제작",https://github.com/Sonak0930/GodotProject.git,,
3,Programming,Ghost Filter,2021.09 ~ 2021.10,Java,"얼굴을 인식하면, 얼굴 옆에 귀신이 서서히 나타나는 카메라 필터, 사진을 찍을 수 있고, 마우스를 드래그를 통해 ‘귀신이 없는 사진’과 ‘귀신이 보이는 사진’ 을 비교 할 수 있다. 캡쳐 버튼에는 함정이 숨어져 있다. 여러 번 누르면 랜덤으로 귀신 사진이 나타난다.","기획, 에셋수집, 프로그래밍",,,
4,Design,도서관 홈페이지 리디자인,2021.10 ~ 2021.12,Adobe XD,아주대학교 도서관 홈페이지 리디자인,- 도서관 레퍼런스 조사 및 페르소나 작성 - 도서 추천 페이지 디자인 - 통합검색 페이지 디자인 - 전자저널/DB/메거진/신문 페이지 디자인 - 메인페이지 오른쪽 하단 안내용 버튼들,,,
5,Design,곰 믹스 마켓 영상 패키지 30,2020.07 ~ 2020.11,"Adobe photoshop, illustrator, affter effect",영상 편집 툴 ‘곰 믹스 프로’를 사용하는 사용자들을 위하여 영상과 영상 꾸미기용 스티커들을 조합하여 패키지로 구성하는 작업 그리고 그 패키지의 사용 예시 영상을 만드는 작업.,- 30개의 영상 장식용 스티커 패키지 구성 및 예시 영상 제작,https://market.gomlab.com/package,,
6,Design,로고 디자인,,,,,,,
7,Design,인스타 게시물 디자인,,,,,,,
,Design,패키지 디자인,,,,,,,
8,3D,,,,,,,,
9,Animation,,,,,,,,
10,Drawing,,,,,,,,
11,Marketing,Smart store,,,,,,,
12,Marketing,smart store,,,,,,,
13,Branding,한중식품,,,,,,,
14,Branding,가루한줌,,,,,,,